description_barang,description,amount,recency_days,frequency,score_price,score_recency,score_freq,final_score
PACK KLEP COVER NOUVA,ONLINE SHOP,175000,40,1,5.71E-06,0.024390244,0.111111111,0.029542153
PACK KLEP COVER PANTHER,PT. EMPATI SUKSES BERKARYA,45000,81,1,2.22E-05,0.012195122,0.111111111,0.02589187
PACK KLEP COVER XENIA 1.0,PT. EMPATI SUKSES BERKARYA,85000,154,1,1.18E-05,0.006451613,0.111111111,0.024163588
PACK KNALPOT L300,METRO MOTOR,25000,14,1,4.00E-05,0.066666667,0.111111111,0.042242222
PACK KOP DONG FENG 8PK,RIYA MOTOR,25000,95,1,4.00E-05,0.010416667,0.111111111,0.025367222
PACKING COVER KLEP JAZZ,76 MOTOR,85000,122,1,1.18E-05,0.008130081,0.111111111,0.024667129
PACKING DELCO NOUVO,ONLINE SHOP,85000,40,1,1.18E-05,0.024390244,0.111111111,0.029545178
PACKING HEAD FREED,JAYA RAYA MOBIL,200000,108,1,5.00E-06,0.009174312,0.111111111,0.024977016
PACKING HEAD GRAND MAX,JAYA RAYA MOBIL,75000,49,2,1.33E-05,0.02,0.222222222,0.050451111
PACKING HEAD GRAND MAX,PT. EMPATI SUKSES BERKARYA,225000,50,2,4.44E-06,0.019607843,0.222222222,0.05032902
PACKING HEAD L300,PT. EMPATI SUKSES BERKARYA,252000,119,1,3.97E-06,0.008333333,0.111111111,0.024724206
PACKING HEAD TARUNA,PT. EMPATI SUKSES BERKARYA,100000,187,1,1.00E-05,0.005319149,0.111111111,0.023822967
PACKING HEAD XENIA 1.0,PT. EMPATI SUKSES BERKARYA,85000,154,1,1.18E-05,0.006451613,0.111111111,0.024163588
PACKING KNALPOT AVANZA,76 MOTOR,20000,52,1,5.00E-05,0.018867925,0.111111111,0.0279076
PACKING SET DONG FENG 8PK,RIYA MOTOR,25000,95,1,4.00E-05,0.010416667,0.111111111,0.025367222
PACKING SET L300,PT. EMPATI SUKSES BERKARYA,750000,56,2,1.33E-06,0.01754386,0.222222222,0.049708269
PACKING SET TARUNA,PT. EMPATI SUKSES BERKARYA,450000,56,1,2.22E-06,0.01754386,0.111111111,0.027486491
PEDAL GAS PS,PT. EMPATI SUKSES BERKARYA,100000,15,1,1.00E-05,0.0625,0.111111111,0.040977222
PELAMPUNG TANGKI CANTER,PT. EMPATI SUKSES BERKARYA,150000,68,1,6.67E-06,0.014492754,0.111111111,0.026573382
PELAMPUNG TANGKI CARRY,JAYA ABADI MOTOR,100000,183,1,1.00E-05,0.005434783,0.111111111,0.023857657
PEN KALIPER,76 MOTOR,30000,3,2,3.33E-05,0.25,0.222222222,0.119461111
PEN KALIPER,JAYA RAYA MOBIL,50000,180,1,2.00E-05,0.005524862,0.111111111,0.023889681
PEN KALIPER GRANDMAX,76 MOTOR,50000,106,1,2.00E-05,0.009345794,0.111111111,0.025035961
PEN PER POLOS PS,JAYA ABADI MOTOR,105000,103,1,9.52E-06,0.009615385,0.111111111,0.0251116
PER DAUN BLKG K142,JAYA ABADI MOTOR,72000,103,1,1.39E-05,0.009615385,0.111111111,0.025113782
PIN KIT REM GRANDMAX,76 MOTOR,30000,150,1,3.33E-05,0.006622517,0.111111111,0.024225644
PIN KIT REM GRANDMAX,PT. EMPATI SUKSES BERKARYA,26000,136,1,3.85E-05,0.00729927,0.111111111,0.024431234
PIN KIT TRITON,76 MOTOR,30000,157,1,3.33E-05,0.006329114,0.111111111,0.024137623
PINION GEAR PS120,PT. EMPATI SUKSES BERKARYA,500000,108,1,2.00E-06,0.009174312,0.111111111,0.024975516
PIPA RADIATOR GRANDMAX,PT. EMPATI SUKSES BERKARYA,350000,203,1,2.86E-06,0.004901961,0.111111111,0.023694239
PISTON DONG FENG 8PK,RIYA MOTOR,85000,95,1,1.18E-05,0.010416667,0.111111111,0.025353105
PISTON KALIPER AVANZA,PT. EMPATI SUKSES BERKARYA,110000,108,2,9.09E-06,0.009174312,0.222222222,0.047201283
PISTON KALIPER FUTURA,PT. EMPATI SUKSES BERKARYA,85000,25,1,1.18E-05,0.038461538,0.111111111,0.033766566
PISTON KALIPER L300,PT. EMPATI SUKSES BERKARYA,75000,112,1,1.33E-05,0.008849558,0.111111111,0.024883756
PISTON KALIPER PANTHER,76 MOTOR,100000,73,1,1.00E-05,0.013513514,0.111111111,0.026281276
PISTON KALIPER TRITON,JAYA RAYA MOBIL,75000,180,1,1.33E-05,0.005524862,0.111111111,0.023886347
PISTON L300,PT. EMPATI SUKSES BERKARYA,1416000,56,2,7.06E-07,0.01754386,0.222222222,0.049707955
PLATE LEVER BRAKE KIT INNOVA,76 MOTOR,140000,81,1,7.14E-06,0.012195122,0.111111111,0.02588433
PLATE LEVER HAND BRAKE PS120,76 MOTOR,70000,63,1,1.43E-05,0.015625,0.111111111,0.026916865
PLATE LEVER HAND BRAKE PS120,PT. EMPATI SUKSES BERKARYA,65000,57,2,1.54E-05,0.017241379,0.222222222,0.049624551
POMPA MINYAK AVANZA,PT. EMPATI SUKSES BERKARYA,375000,0,2,2.67E-06,1,0.222222222,0.344445778
POMPA MINYAK GRAND MAX,PT. EMPATI SUKSES BERKARYA,350000,133,1,2.86E-06,0.007462687,0.111111111,0.024462457
POMPA MINYAK INNOVA BENSIN,JAYA ABADI MOTOR,425000,83,1,2.35E-06,0.011904762,0.111111111,0.025794827
POMPA OLI TARUNA,PT. EMPATI SUKSES BERKARYA,650000,56,1,1.54E-06,0.01754386,0.111111111,0.027486149
PROPELLER SHAFT GRANDMAX,JAYA RAYA MOBIL,850000,151,1,1.18E-06,0.006578947,0.111111111,0.024196495
PROPELLER SHAFT GRANDMAX (A),DAIHATSU DEALER,1750000,114,1,5.71E-07,0.008695652,0.111111111,0.024831204
PULLEY AC APV (A),PT. SAMEKARINDO INDAH,455000,103,1,2.20E-06,0.009615385,0.111111111,0.025107937
PULLEY CRANKSHAFT GRANDMAX,JAYA RAYA MOBIL,371000,93,1,2.70E-06,0.010638298,0.111111111,0.025415059
PULLEY CRANKSHAFT L300,PT. EMPATI SUKSES BERKARYA,538000,9,1,1.86E-06,0.1,0.111111111,0.052223152
PULLEY CRANKSHAFT XENIA 1.0,JAYA RAYA MOBIL,300000,151,1,3.33E-06,0.006578947,0.111111111,0.024197573
PULLEY TENSIONER GRANDMAX,MEGAH JAYA MOTOR,300000,93,1,3.33E-06,0.010638298,0.111111111,0.025415378
PULLEY TENSIONER NEW CARRY,PT. EMPATI SUKSES BERKARYA,185000,74,1,5.41E-06,0.013333333,0.111111111,0.026224925
PULLEY TENSIONER XENIA,JAYA ABADI MOTOR,100000,88,1,1.00E-05,0.011235955,0.111111111,0.025598009
PULLEY TENSIONER XOVER,METRO MOTOR,250000,34,1,4.00E-06,0.028571429,0.111111111,0.030795651
RACK END AVANZA,76 MOTOR,125000,112,2,8.00E-06,0.008849558,0.222222222,0.047103312
RACK END AVANZA,PT. EMPATI SUKSES BERKARYA,125000,112,3,8.00E-06,0.008849558,0.333333333,0.069325534
RACK END AVANZA LAMA,PT. EMPATI SUKSES BERKARYA,220000,77,1,4.55E-06,0.012820513,0.111111111,0.026070649
RACK END GRAND MAX,JAYA ABADI MOTOR,390000,85,1,2.56E-06,0.011627907,0.111111111,0.025711876
RACK END GRAND MAX,PT. EMPATI SUKSES BERKARYA,780000,189,1,1.28E-06,0.005263158,0.111111111,0.023801811
RACK END INNOVA,PT. EMPATI SUKSES BERKARYA,250000,175,1,4.00E-06,0.005681818,0.111111111,0.023928768
RACK END SIGRA,JAYA ABADI MOTOR,220000,42,1,4.55E-06,0.023255814,0.111111111,0.029201239
RACK STEER ASSY GRANDMAX,PT. EMPATI SUKSES BERKARYA,2800000,189,2,3.57E-07,0.005263158,0.222222222,0.04602357
RACK STEER ASSY LIVINA,PT. EMPATI SUKSES BERKARYA,1900000,74,1,5.26E-07,0.013333333,0.111111111,0.026222485
RADIATOR AVZ/XNIA LAMA,PT. EMPATI SUKSES BERKARYA,825000,173,1,1.21E-06,0.005747126,0.111111111,0.023946966
RADIATOR FREED,JAYA RAYA MOBIL,1400000,108,1,7.14E-07,0.009174312,0.111111111,0.024974873
RADIATOR GRANDMAX,JAYA ABADI MOTOR,975000,155,1,1.03E-06,0.006410256,0.111111111,0.024145812
RADIATOR INNOVA,PT. EMPATI SUKSES BERKARYA,1250000,57,1,8.00E-07,0.017241379,0.111111111,0.027395036
RELAY GLOW PLUGH L300,JAYA ABADI MOTOR,165000,84,1,6.06E-06,0.011764706,0.111111111,0.025754664
RELAY GLOW PLUGH L300,PT. EMPATI SUKSES BERKARYA,175000,82,1,5.71E-06,0.012048193,0.111111111,0.025839537
RING NOZZLE L300,76 MOTOR,20000,165,1,5.00E-05,0.006024096,0.111111111,0.024054451
RING NOZZLE L300,PT. EMPATI SUKSES BERKARYA,20000,56,1,5.00E-05,0.01754386,0.111111111,0.02751038
RING PISTON DONG FENG 8PK,RIYA MOTOR,50000,95,1,2.00E-05,0.010416667,0.111111111,0.025357222
RING PISTON L300,PT. EMPATI SUKSES BERKARYA,1585000,56,2,6.31E-07,0.01754386,0.222222222,0.049707918
RING PISTON TARUNA,JAYA RAYA MOBIL,428000,56,1,2.34E-06,0.01754386,0.111111111,0.027486548
RING SOLAR 10,PT. EMPATI SUKSES BERKARYA,10000,196,1,0.0001,0.005076142,0.111111111,0.023795065
RING TEMBAGA 10MM,JAYA ABADI MOTOR,12000,196,1,8.33E-05,0.005076142,0.111111111,0.023786732
RING TEMBAGA 10MM,PT. EMPATI SUKSES BERKARYA,14000,196,1,7.14E-05,0.005076142,0.111111111,0.023780779
RING TEMBAGA 12MM,JAYA ABADI MOTOR,40000,116,1,2.50E-05,0.008547009,0.111111111,0.024798825
RING TEMBAGA 14MM,UD SINAR BAUT,4000,163,1,0.00025,0.006097561,0.111111111,0.024176491
ROCKER ARM DONG FENG,RIYA MOTOR,60000,92,1,1.67E-05,0.010752688,0.111111111,0.025456362
RODA GILA ASSY L300,PT. EMPATI SUKSES BERKARYA,1250000,106,1,8.00E-07,0.009345794,0.111111111,0.025026361
RODA GILA ASSY ORI LELANG L300,PT. EMPATI SUKSES BERKARYA,1400000,11,1,7.14E-07,0.083333333,0.111111111,0.047222579
SALIB GARDAN PS120,PT. EMPATI SUKSES BERKARYA,250000,108,1,4.00E-06,0.009174312,0.111111111,0.024976516
SARINGAN TANGKI BENSIN AVANZA,JAYA ABADI MOTOR,30000,106,2,3.33E-05,0.009345794,0.222222222,0.047264849
SARINGAN TANGKI BENSIN CALYA/SIGRA,JAYA ABADI MOTOR,55000,161,1,1.82E-05,0.00617284,0.111111111,0.024083165
SCRUB HEAD,BENGKEL WAWAN,200000,50,2,5.00E-06,0.019607843,0.222222222,0.050329297
SCRUB HEAD,SAM ENGINE WORK,200000,105,7,5.00E-06,0.009433962,0.777777778,0.158388244
"SEAL BULAN PANTHER 2,5",JAYA MUNCUL MOBIL,200000,81,1,5.00E-06,0.012195122,0.111111111,0.025883259
SEAL BUSI ERTIGA,PT. SAMEKARINDO INDAH,52000,193,1,1.92E-05,0.005154639,0.111111111,0.023778229
SEAL CRANKSHAF BELAKANG APV,PT. SAMEKARINDO INDAH,254000,166,1,3.94E-06,0.005988024,0.111111111,0.024020598
SEAL CRANKSHAFT BLKG L300,PT. EMPATI SUKSES BERKARYA,150000,117,3,6.67E-06,0.008474576,0.333333333,0.069212373
SEAL CRANKSHAFT BLKG PANTHER,PT. EMPATI SUKSES BERKARYA,75000,81,1,1.33E-05,0.012195122,0.111111111,0.025887425
SEAL CRANKSHAFT BLKNG GRAND MAX,JAYA ABADI MOTOR,120000,172,1,8.33E-06,0.005780347,0.111111111,0.023960493
SEAL CRANKSHAFT BLKNG TRAGA,JAYA ABADI MOTOR,135000,117,2,7.41E-06,0.008474576,0.222222222,0.046990521
SEAL CRANKSHAFT BLKNG TRAGA,JAYA RAYA MOBIL,60000,103,2,1.67E-05,0.009615385,0.222222222,0.047337393
SEAL CRANKSHAFT BLKNG TRAGA,MEGAH JAYA MOTOR,175000,80,1,5.71E-06,0.012345679,0.111111111,0.025928783
SEAL CRANKSHAFT BLKNG TRAGA,METRO MOTOR,175000,70,1,5.71E-06,0.014084507,0.111111111,0.026450431
SEAL CRANKSHAFT BLKNG TRAGA,PT. EMPATI SUKSES BERKARYA,175000,99,1,5.71E-06,0.01,0.111111111,0.025225079
SEAL CRANKSHAFT BLKNG XENIA 1.0,PT. EMPATI SUKSES BERKARYA,35000,154,1,2.86E-05,0.006451613,0.111111111,0.024171992
SEAL CRANKSHAFT DONG FENG,RIYA MOTOR,15000,94,1,6.67E-05,0.010526316,0.111111111,0.02541345
SEAL CRANKSHAFT DPN GRAND MAX,JAYA ABADI MOTOR,40000,142,1,2.50E-05,0.006993007,0.111111111,0.024332624
SEAL CRANKSHAFT DPN GRAND MAX,JAYA RAYA MOBIL,41000,93,1,2.44E-05,0.010638298,0.111111111,0.025425907
SEAL CRANKSHAFT DPN GRAND MAX,METRO MOTOR,65000,50,1,1.54E-05,0.019607843,0.111111111,0.028112267
SEAL CRANKSHAFT DPN JAZZ,MEGAH JAYA MOTOR,85000,106,1,1.18E-05,0.009345794,0.111111111,0.025031843
SEAL CRANKSHAFT DPN PANTHER,PT. EMPATI SUKSES BERKARYA,35000,81,1,2.86E-05,0.012195122,0.111111111,0.025895045
SEAL CRANKSHAFT DPN XENIA 1.0,76 MOTOR,70000,151,1,1.43E-05,0.006578947,0.111111111,0.024203049
SEAL CRANKSHAFT DPN XENIA 1.0,PT. EMPATI SUKSES BERKARYA,30000,154,1,3.33E-05,0.006451613,0.111111111,0.024174373
SEAL DEBU AVANZA,76 MOTOR,20000,182,1,5.00E-05,0.005464481,0.111111111,0.023886566
SEAL DEBU CANTER,JAYA ABADI MOTOR,20000,69,1,5.00E-05,0.014285714,0.111111111,0.026532937
SEAL DELCO NOUVA,ONLINE SHOP,85000,40,1,1.18E-05,0.024390244,0.111111111,0.029545178
SEAL DRIVE SHAFT XPANDER,JAYA RAYA MOBIL,60000,180,1,1.67E-05,0.005524862,0.111111111,0.023888014
SEAL GARDAN APV,PT. EMPATI SUKSES BERKARYA,55000,149,1,1.82E-05,0.006666667,0.111111111,0.024231313
SEAL GARDAN GRANDMAX,JAYA ABADI MOTOR,45000,140,1,2.22E-05,0.007092199,0.111111111,0.024360993
SEAL GARDAN GRANDMAX,PT. EMPATI SUKSES BERKARYA,35000,136,1,2.86E-05,0.00729927,0.111111111,0.024426289
SEAL GARDAN L300,76 MOTOR,85000,105,1,1.18E-05,0.009433962,0.111111111,0.025058293
SEAL GARDAN L300,JAYA ABADI MOTOR,75000,129,1,1.33E-05,0.007692308,0.111111111,0.024536581
SEAL GARDAN PS135,76 MOTOR,200000,79,1,5.00E-06,0.0125,0.111111111,0.025974722
SEAL GARDAN TRAGA,PT. EMPATI SUKSES BERKARYA,35000,78,2,2.86E-05,0.012658228,0.222222222,0.048256199
SEAL KALIPER KIT APV,76 MOTOR,65000,33,1,1.54E-05,0.029411765,0.111111111,0.031053444
SEAL KALIPER KIT APV,PT. EMPATI SUKSES BERKARYA,45000,23,1,2.22E-05,0.041666667,0.111111111,0.034733333
SEAL KALIPER KIT HILUX REVO,76 MOTOR,150000,37,1,6.67E-06,0.026315789,0.111111111,0.030120292
SEAL KALIPER KIT HILUX REVO,PT. EMPATI SUKSES BERKARYA,150000,37,1,6.67E-06,0.026315789,0.111111111,0.030120292
SEAL KALIPER KIT L300,76 MOTOR,85000,154,1,1.18E-05,0.006451613,0.111111111,0.024163588
SEAL KALIPER KIT L300,PT. EMPATI SUKSES BERKARYA,45000,109,2,2.22E-05,0.009090909,0.222222222,0.047182828
SEAL KIT P/STERING RUSH,ONLINE SHOP,300000,133,1,3.33E-06,0.007462687,0.111111111,0.024462695
SEAL KIT POWER STERING BAWAH TRITON,PT. EMPATI SUKSES BERKARYA,275000,88,1,3.64E-06,0.011235955,0.111111111,0.025594827
SEAL KLEP GRANDMAX,JAYA ABADI MOTOR,115000,142,1,8.70E-06,0.006993007,0.111111111,0.024324472
SEAL KLEP TARUNA,PT. EMPATI SUKSES BERKARYA,240000,187,1,4.17E-06,0.005319149,0.111111111,0.02382005
SEAL KLEP XENIA 1.0,PT. EMPATI SUKSES BERKARYA,180000,154,1,5.56E-06,0.006451613,0.111111111,0.024160484
SEAL NOKEN AS TARUNA,PT. EMPATI SUKSES BERKARYA,35000,187,1,2.86E-05,0.005319149,0.111111111,0.023832253
SEAL NOKEN AS XENIA 1.0,PT. EMPATI SUKSES BERKARYA,35000,154,1,2.86E-05,0.006451613,0.111111111,0.024171992
SEAL P/STEERING,ANDINDO SAMARINDA,55300,52,1,1.81E-05,0.018867925,0.111111111,0.027891641
SEAL P/STEERING L300,76 MOTOR,20000,56,1,5.00E-05,0.01754386,0.111111111,0.02751038
SEAL P/STEERING L300,PT. EMPATI SUKSES BERKARYA,35000,157,2,2.86E-05,0.006329114,0.222222222,0.046357464
SEAL PERSNELING GRANDMAX,PT. EMPATI SUKSES BERKARYA,25000,68,1,4.00E-05,0.014492754,0.111111111,0.026590048
SEAL RACK STEER BSR TRITON,ANDINDO SAMARINDA,60000,91,1,1.67E-05,0.010869565,0.111111111,0.025491425
SEAL RACK STEER KCL TRITON,ANDINDO SAMARINDA,34300,91,1,2.92E-05,0.010869565,0.111111111,0.025497669
SEAL RD BLKG AVANZA,PT. EMPATI SUKSES BERKARYA,75000,46,1,1.33E-05,0.021276596,0.111111111,0.028611868
SEAL RD BLKG DLM PS,JAYA ABADI MOTOR,45000,107,2,2.22E-05,0.009259259,0.222222222,0.047233333
SEAL RD BLKG DLM PS,PT. EMPATI SUKSES BERKARYA,25000,24,1,4.00E-05,0.04,0.111111111,0.034242222
SEAL RD BLKG DLM PS,SINAR MAJU,25000,144,1,4.00E-05,0.006896552,0.111111111,0.024311188
SEAL RD BLKG FUTURA,PT. EMPATI SUKSES BERKARYA,50000,25,1,2.00E-05,0.038461538,0.111111111,0.033770684
SEAL RD BLKG GRAND MAX,JAYA RAYA MOBIL,50000,142,1,2.00E-05,0.006993007,0.111111111,0.024330124
SEAL RD BLKG GRAND MAX,PT. EMPATI SUKSES BERKARYA,72500,113,1,1.38E-05,0.00877193,0.111111111,0.024860698
SEAL RD BLKG GRANDMAX ASLI,PT. EMPATI SUKSES BERKARYA,65000,9,1,1.54E-05,0.1,0.111111111,0.052229915
SEAL RD BLKG IN PS135,76 MOTOR,50000,69,2,2.00E-05,0.014285714,0.222222222,0.048740159
SEAL RD BLKG LUAR PS,JAYA ABADI MOTOR,70000,107,2,1.43E-05,0.009259259,0.222222222,0.047229365
SEAL RD BLKG LUAR PS,PT. EMPATI SUKSES BERKARYA,35000,24,1,2.86E-05,0.04,0.111111111,0.034236508
SEAL RD BLKG OUT PS135,76 MOTOR,35000,69,2,2.86E-05,0.014285714,0.222222222,0.048744444
SEAL RD BLKNG APV,PT. EMPATI SUKSES BERKARYA,70000,150,1,1.43E-05,0.006622517,0.111111111,0.02421612
SEAL RD DPN APV,PT. EMPATI SUKSES BERKARYA,50000,170,1,2.00E-05,0.005847953,0.111111111,0.023986608
SEAL RD DPN TRAGA,76 MOTOR,130000,70,1,7.69E-06,0.014084507,0.111111111,0.02645142
SEAL REM AVZ/XENIA,PT. EMPATI SUKSES BERKARYA,50000,176,1,2.00E-05,0.005649718,0.111111111,0.023927137
SEAL REM CANTER,JAYA ABADI MOTOR,115000,69,1,8.70E-06,0.014285714,0.111111111,0.026512284
SEAL REM MOBILIO,MEGAH JAYA MOTOR,50000,30,1,2.00E-05,0.032258065,0.111111111,0.031909642
SEAL TRANSMISI BLKG APV,PT. EMPATI SUKSES BERKARYA,25000,109,1,4.00E-05,0.009090909,0.111111111,0.024969495
SEAL TRANSMISI BLKG L300,JAYA MUNCUL MOBIL,150000,61,1,6.67E-06,0.016129032,0.111111111,0.027064265
SEAL TRANSMISI BLKNG GRANDMAX,JAYA RAYA MOBIL,40000,151,1,2.50E-05,0.006578947,0.111111111,0.024208406
SEAL TRANSMISI BLKNG GRANDMAX,METRO MOTOR,65000,50,1,1.54E-05,0.019607843,0.111111111,0.028112267
SEAL TRANSMISI PS,JAYA RAYA MOBIL,60000,142,1,1.67E-05,0.006993007,0.111111111,0.024328458
SEAL VTEC JAZZ,JAYA ABADI MOTOR,80000,122,1,1.25E-05,0.008130081,0.111111111,0.024667497
SEKERING TABUNG 10A,76 MOTOR,12500,134,1,8.00E-05,0.007407407,0.111111111,0.024484444
SEKERING TABUNG 15A,76 MOTOR,5000,134,1,0.0002,0.007407407,0.111111111,0.024544444
SEKERING TABUNG 20A,76 MOTOR,7500,134,1,0.000133333,0.007407407,0.111111111,0.024511111
SEKERING TUSUK KECIL 10A,PT. EMPATI SUKSES BERKARYA,10000,10,1,0.0001,0.090909091,0.111111111,0.049544949
SEKERING TUSUK KECIL 15A,PT. EMPATI SUKSES BERKARYA,10000,10,1,0.0001,0.090909091,0.111111111,0.049544949
SELANG ALTENATOR L300 ,JAYA ABADI MOTOR,35000,196,1,2.86E-05,0.005076142,0.111111111,0.023759351
SELANG ALTENATOR PANTHER,SUMBER MAS,125000,81,1,8.00E-06,0.012195122,0.111111111,0.025884759
SELANG BY PASS KCL,PT. EMPATI SUKSES BERKARYA,45000,203,1,2.22E-05,0.004901961,0.111111111,0.023703922
SELANG HEATER FREED,76 MOTOR,60000,105,1,1.67E-05,0.009433962,0.111111111,0.025060744
SELANG PVC XENIA,PT. EMPATI SUKSES BERKARYA,55000,150,1,1.82E-05,0.006622517,0.111111111,0.024218068
SELANG RADIATOR ATAS FREED,MEGAH JAYA MOTOR,200000,104,1,5.00E-06,0.00952381,0.111111111,0.025081865
SELANG RADIATOR ATAS PS120,PT. EMPATI SUKSES BERKARYA,55000,157,1,1.82E-05,0.006329114,0.111111111,0.024130047
SELANG RADIATOR LOW XENIA 1.0,PT. EMPATI SUKSES BERKARYA,70000,154,1,1.43E-05,0.006451613,0.111111111,0.024164849
SELANG RADIATOR UP XENIA 1.0,PT. EMPATI SUKSES BERKARYA,25000,154,1,4.00E-05,0.006451613,0.111111111,0.024177706
SELANG REM DPN UP PS,PT. EMPATI SUKSES BERKARYA,40000,17,1,2.50E-05,0.055555556,0.111111111,0.038901389
"SELANG SOLAR 10""",76 MOTOR,37500,173,1,2.67E-05,0.005747126,0.111111111,0.023959693
"SELANG SOLAR 10""",JAYA ABADI MOTOR,40000,109,2,2.50E-05,0.009090909,0.222222222,0.047184217
SELENOID FUTURA,76 MOTOR,225000,189,1,4.44E-06,0.005263158,0.111111111,0.023803392
SENSOR FILTER SOLAR L300,76 MOTOR,50000,182,1,2.00E-05,0.005464481,0.111111111,0.023871566
SENSOR OXYGEN XENIA 1.0,METRO MOTOR,350000,154,1,2.86E-06,0.006451613,0.111111111,0.024159135
SERVICE INJEKSI PUMP,TEPIAN DIESEL,200000,127,1,5.00E-06,0.0078125,0.111111111,0.024568472
SERVICE KABEL LAMPU,BENGKEL DINAMO NARI,50000,134,1,2.00E-05,0.007407407,0.111111111,0.024454444
SERVIS  NOZZELE L300,TEPIAN DIESEL,100000,165,1,1.00E-05,0.006024096,0.111111111,0.024034451
SERVIS AC,SENTOSA TEKNIK,430000,17,1,2.33E-06,0.055555556,0.111111111,0.038890052
SERVIS DINAMO,BENGKEL DINAMO NARI,50000,43,7,2.00E-05,0.022727273,0.777777778,0.162383737
SERVIS DINAMO ISI / ALTERNATOR,BENGKEL DINAMO NARI,500000,100,1,2.00E-06,0.00990099,0.111111111,0.025193519
SERVIS RADIATOR,LANGGENG TEKNIK,100000,27,6,1.00E-05,0.035714286,0.666666667,0.144052619
"SHELL HELIX ECO PLUS 5W-30 0,5LTR",PT SCORPIO MULTI PERSADA,354177,140,1,2.82E-06,0.007092199,0.111111111,0.024351294
SHELL HELIX ECO PLUS 5W-30 3LTR,PT SCORPIO MULTI PERSADA,727623,28,3,1.37E-06,0.034482759,0.333333333,0.077012181
SHELL HELIX HX6 10W-40 1L,PT SCORPIO MULTI PERSADA,928356,28,4,1.08E-06,0.034482759,0.444444444,0.099234255
SHELL HELIX HX6 10W-40 4L,JAYA ABADI MOTOR,300000,199,1,3.33E-06,0.005,0.111111111,0.023723889
SHELL HELIX HX6 10W-40 4L,PT SCORPIO MULTI PERSADA,2424488,28,9,4.12E-07,0.034482759,1,0.210345034
SHOCK BAGASI AGYA,PT. EMPATI SUKSES BERKARYA,285000,78,1,3.51E-06,0.012658228,0.111111111,0.026021445
SHOCK BAGASI GRANDMAX,PT. EMPATI SUKSES BERKARYA,250000,87,1,4.00E-06,0.011363636,0.111111111,0.025633313
SHOCK BAGASI MOBILIO,PT. EMPATI SUKSES BERKARYA,369000,78,1,2.71E-06,0.012658228,0.111111111,0.026021046
SHOCK BREAKER BLKNG-GRAND MAX,PT. EMPATI SUKSES BERKARYA,670000,131,1,1.49E-06,0.007575758,0.111111111,0.024495696
SHOCK BREAKER DEPAN APV SGP,PT. EMPATI SUKSES BERKARYA,1550000,162,1,6.45E-07,0.006134969,0.111111111,0.024063036
SHOCK BREAKER DPN GRAND MAX,JAYA ABADI MOTOR,1330000,161,1,7.52E-07,0.00617284,0.111111111,0.02407445
SHOCK BREAKER DPN GRAND MAX,PT. EMPATI SUKSES BERKARYA,700000,10,1,1.43E-06,0.090909091,0.111111111,0.049495664
SHOCK BREKER BELAKANG L300,PT. EMPATI SUKSES BERKARYA,608000,156,1,1.64E-06,0.006369427,0.111111111,0.024133873
SHOCKBREAKER BLKNG INNOVA,PT. EMPATI SUKSES BERKARYA,328000,109,1,3.05E-06,0.009090909,0.111111111,0.024951019
SIDE GEAR PS120,PT. EMPATI SUKSES BERKARYA,450000,108,1,2.22E-06,0.009174312,0.111111111,0.024975627
SNAP RING SET AC AVANZA,SENTOSA TEKNIK,40000,2,1,2.50E-05,0.333333333,0.111111111,0.122234722
SNAPRING KCL,ANDINDO SAMARINDA,4400,52,1,0.000227273,0.018867925,0.111111111,0.027996236
SOLAR,WARUNG DAENG,50000,78,4,2.00E-05,0.012658228,0.444444444,0.092696357
SPI CRANKSHAFT XENIA 1.0,PT. EMPATI SUKSES BERKARYA,35000,154,1,2.86E-05,0.006451613,0.111111111,0.024171992
SPOORING,PARKING32,120000,36,1,8.33E-06,0.027027027,0.111111111,0.030334497
STIK OLI DONG FENG,RIYA MOTOR,15000,94,1,6.67E-05,0.010526316,0.111111111,0.02541345
STOPER DEPAN LH L300,PT. EMPATI SUKSES BERKARYA,105000,67,2,9.52E-06,0.014705882,0.222222222,0.048860971
STOPER DEPAN RH L300,PT. EMPATI SUKSES BERKARYA,105000,67,1,9.52E-06,0.014705882,0.111111111,0.026638749
STOPER SHOCK BLKNG FREED,76 MOTOR,150000,170,1,6.67E-06,0.005847953,0.111111111,0.023979942
STOPPER BLKG CANTER,76 MOTOR,160000,64,1,6.25E-06,0.015384615,0.111111111,0.026840732
STOPPER BLKG CANTER,JAYA ABADI MOTOR,92000,72,1,1.09E-05,0.01369863,0.111111111,0.026337246
STOPPER BLKG LH L300,PT. EMPATI SUKSES BERKARYA,85000,67,1,1.18E-05,0.014705882,0.111111111,0.026639869
STOPPER BLKG RH L300,PT. EMPATI SUKSES BERKARYA,85000,67,1,1.18E-05,0.014705882,0.111111111,0.026639869
STOPPER BLKNG APV,PT. EMPATI SUKSES BERKARYA,60000,149,1,1.67E-05,0.006666667,0.111111111,0.024230556
STOPPER DPN ATAS PANTHER,PT. EMPATI SUKSES BERKARYA,45000,74,1,2.22E-05,0.013333333,0.111111111,0.026233333
STOPPER DPN CANTER,76 MOTOR,140000,84,1,7.14E-06,0.011764706,0.111111111,0.025755205
STOPPER DPN PS120,76 MOTOR,100000,157,1,1.00E-05,0.006329114,0.111111111,0.024125956
