description_barang,description,amount,recency_days,frequency,score_price,score_recency,score_freq,final_score
COIL SPRING BLKNG GRANDMAX,PT. EMPATI SUKSES BERKARYA,550000,33,1,1.82E-06,0.029411765,0.111111111,0.031046661
COIL SPRING GRAND MAX,PT. EMPATI SUKSES BERKARYA,275000,123,1,3.64E-06,0.008064516,0.111111111,0.024643395
CONES FUTURA,PT. EMPATI SUKSES BERKARYA,50000,25,1,2.00E-05,0.038461538,0.111111111,0.033770684
CONES GRANDMAX,JAYA RAYA MOBIL,25000,142,1,4.00E-05,0.006993007,0.111111111,0.024340124
CONES GRANDMAX,PT. EMPATI SUKSES BERKARYA,150000,113,1,6.67E-06,0.00877193,0.111111111,0.024857135
CONES GRANDMAX ASLI,PT. EMPATI SUKSES BERKARYA,175000,9,1,5.71E-06,0.1,0.111111111,0.052225079
COOLANT RADIATOR,PT. EMPATI SUKSES BERKARYA,154000,9,5,6.49E-06,0.1,0.555555556,0.141114358
COVER DEPAN DONG FENG 8PK,RIYA MOTOR,195000,95,1,5.13E-06,0.010416667,0.111111111,0.025349786
CRANKSHAFT DONG FENG 8PK,RIYA MOTOR,390000,94,1,2.56E-06,0.010526316,0.111111111,0.025381399
CROSS JOINT AVANZA/XENIA,JAYA ABADI MOTOR,250000,123,1,4.00E-06,0.008064516,0.111111111,0.024643577
CROSS JOINT GRANDMAX,JAYA ABADI MOTOR,250000,75,1,4.00E-06,0.013157895,0.111111111,0.026171591
CROSS JOINT GRANDMAX,PT. EMPATI SUKSES BERKARYA,150000,52,1,6.67E-06,0.018867925,0.111111111,0.027885933
CROSS JOINT INNOVA,METRO MOTOR,175000,65,1,5.71E-06,0.015151515,0.111111111,0.026770534
CROSS JOINT TERRANO,PT. EMPATI SUKSES BERKARYA,125000,157,2,8.00E-06,0.006329114,0.222222222,0.046347179
CUCI MOBIL,PENCUCIAN MOBIL,60000,150,1,1.67E-05,0.006622517,0.111111111,0.024217311
CYLINDER HEAD NEW L300,PT. EMPATI SUKSES BERKARYA,4500000,119,1,2.22E-07,0.008333333,0.111111111,0.024722333
DINAMO AIR WIPER AVANZA,76 MOTOR,120000,89,1,8.33E-06,0.011111111,0.111111111,0.025559722
DINAMO AIR WIPER AVANZA,JAYA ABADI MOTOR,65000,89,1,1.54E-05,0.011111111,0.111111111,0.025563248
DINAMO AIR WIPER AVANZA,PT. EMPATI SUKSES BERKARYA,65000,87,1,1.54E-05,0.011363636,0.111111111,0.025639005
DISC BRAKE DPN APV,PT. EMPATI SUKSES BERKARYA,500000,119,1,2.00E-06,0.008333333,0.111111111,0.024723222
DISC BRAKE FUTURA,PT. EMPATI SUKSES BERKARYA,530000,25,1,1.89E-06,0.038461538,0.111111111,0.033761627
DISC BRAKE HILUX REVO,PT. EMPATI SUKSES BERKARYA,450000,37,1,2.22E-06,0.026315789,0.111111111,0.03011807
DRAG LINK CANTER,PT. EMPATI SUKSES BERKARYA,1050000,23,1,9.52E-07,0.041666667,0.111111111,0.034722698
DRIVE SHAFT CALYA,PT. EMPATI SUKSES BERKARYA,1250000,203,1,8.00E-07,0.004901961,0.111111111,0.02369321
DUDUKAN ACCU ,PT. EMPATI SUKSES BERKARYA,70000,182,1,1.43E-05,0.005464481,0.111111111,0.023868709
ENGINE FLUSH PRESTONE,PT. EMPATI SUKSES BERKARYA,50000,32,1,2.00E-05,0.03030303,0.111111111,0.031323131
"ENGINE MOUNTING CARRY 1,5",PT. EMPATI SUKSES BERKARYA,55000,162,1,1.82E-05,0.006134969,0.111111111,0.024071804
ENGINE MOUNTING GRANMAX,PT. EMPATI SUKSES BERKARYA,490000,198,1,2.04E-06,0.005025126,0.111111111,0.02373078
FAN BELT 4PK785 TARUNA,76 MOTOR,70000,52,1,1.43E-05,0.018867925,0.111111111,0.027889742
FAN BELT ALTENATOR L300,76 MOTOR,90000,59,2,1.11E-05,0.016666667,0.222222222,0.04945
FAN BELT MANUAL GRAND MAX 1.3,JAYA ABADI MOTOR,75000,105,1,1.33E-05,0.009433962,0.111111111,0.025059078
FAN BELT PS,76 MOTOR,65000,2,2,1.54E-05,0.333333333,0.222222222,0.144452137
FAN BELT PS,PT. EMPATI SUKSES BERKARYA,55000,11,1,1.82E-05,0.083333333,0.111111111,0.047231313
FAN BELT TRAGA SHORT,PT. EMPATI SUKSES BERKARYA,45000,126,1,2.22E-05,0.007874016,0.111111111,0.024595538
FANBELT 3PK625,PT. EMPATI SUKSES BERKARYA,40000,154,1,2.50E-05,0.006451613,0.111111111,0.024170206
FANBELT 4PK715 XENIA 1.0,PT. EMPATI SUKSES BERKARYA,40000,154,1,2.50E-05,0.006451613,0.111111111,0.024170206
FANBELT 4PK820,PT. EMPATI SUKSES BERKARYA,95000,17,1,1.05E-05,0.055555556,0.111111111,0.038894152
FANBELT 5PK992 NEW CARRY,PT. EMPATI SUKSES BERKARYA,55000,74,1,1.82E-05,0.013333333,0.111111111,0.026231313
FANBELT 7PK1750,PT. EMPATI SUKSES BERKARYA,295000,17,1,3.39E-06,0.055555556,0.111111111,0.038890584
FANBELT A31,76 MOTOR,45000,136,1,2.22E-05,0.00729927,0.111111111,0.024423114
FANBELT A63,SUMBER MAS,130000,81,1,7.69E-06,0.012195122,0.111111111,0.025884605
FANBELT B42,76 MOTOR,85000,137,1,1.18E-05,0.007246377,0.111111111,0.024402018
FANBELT B42,JAYA ABADI MOTOR,60000,136,1,1.67E-05,0.00729927,0.111111111,0.024420337
FANBELT FM27.5,PT. EMPATI SUKSES BERKARYA,28000,154,1,3.57E-05,0.006451613,0.111111111,0.024175563
FANBELT INNOVA 7PK2300,PT. EMPATI SUKSES BERKARYA,185000,156,1,5.41E-06,0.006369427,0.111111111,0.024135753
FANBELT RUSH (A),76 MOTOR,140000,0,1,7.14E-06,1,0.111111111,0.322225794
"FASTRON ECOGREEN 3,5LTR",PT. EMPATI SUKSES BERKARYA,1086000,56,2,9.21E-07,0.01754386,0.222222222,0.049708063
FASTRON TECHNO 4LTR,JAYA ABADI MOTOR,520000,196,1,1.92E-06,0.005076142,0.111111111,0.023746026
FASTRON TECHNO 4LTR,PT. EMPATI SUKSES BERKARYA,1527000,56,3,6.55E-07,0.01754386,0.333333333,0.071930152
FEUL PUMP INNOVA,PT. EMPATI SUKSES BERKARYA,375000,57,1,2.67E-06,0.017241379,0.111111111,0.027395969
FILTER AC SIGRA,JAYA ABADI MOTOR,43000,40,1,2.33E-05,0.024390244,0.111111111,0.029550923
FILTER AC YARIS,76 MOTOR,80000,114,1,1.25E-05,0.008695652,0.111111111,0.024837168
FILTER BENSIN CARRY,JAYA ABADI MOTOR,75000,192,1,1.33E-05,0.005181347,0.111111111,0.023783293
FILTER CANISTER CARRY,JAYA RAYA MOBIL,650000,191,1,1.54E-06,0.005208333,0.111111111,0.023785491
FILTER MINYAK INNOVA,JAYA ABADI MOTOR,35000,83,1,2.86E-05,0.011904762,0.111111111,0.025807937
FILTER OLI APV,JAYA ABADI MOTOR,144000,124,1,6.94E-06,0.008,0.111111111,0.024625694
FILTER OLI APV,PT. EMPATI SUKSES BERKARYA,150000,36,2,6.67E-06,0.027027027,0.222222222,0.052555886
FILTER OLI AVANZA / XENIA,JAYA ABADI MOTOR,100000,102,1,1.00E-05,0.009708738,0.111111111,0.025139844
FILTER OLI AVANZA / XENIA,PT. EMPATI SUKSES BERKARYA,450000,40,4,2.22E-06,0.024390244,0.444444444,0.096207073
FILTER OLI AVEGA,PT. EMPATI SUKSES BERKARYA,45000,32,1,2.22E-05,0.03030303,0.111111111,0.031324242
FILTER OLI CANTER ORI,PT. EMPATI SUKSES BERKARYA,630000,56,1,1.59E-06,0.01754386,0.111111111,0.027486174
FILTER OLI COLT120SS,76 MOTOR,40000,32,1,2.50E-05,0.03030303,0.111111111,0.031325631
FILTER OLI DONG FENG,RIYA MOTOR,15000,94,1,6.67E-05,0.010526316,0.111111111,0.02541345
FILTER OLI INNOVA,JAYA ABADI MOTOR,28000,65,1,3.57E-05,0.015151515,0.111111111,0.026785534
FILTER OLI INNOVA,JAYA RAYA MOBIL,44000,142,1,2.27E-05,0.006993007,0.111111111,0.024331488
FILTER OLI JAZZ/FREED,JAYA ABADI MOTOR,140000,37,1,7.14E-06,0.026315789,0.111111111,0.03012053
FILTER OLI JAZZ/FREED,PT. EMPATI SUKSES BERKARYA,100000,189,1,1.00E-05,0.005263158,0.111111111,0.02380617
FILTER OLI L300 ASLI,PT. EMPATI SUKSES BERKARYA,1001000,189,1,9.99E-07,0.005263158,0.111111111,0.023801669
FILTER OLI LIVINA,JAYA ABADI MOTOR,30000,7,1,3.33E-05,0.125,0.111111111,0.059738889
FILTER OLI MARCH,JAYA RAYA MOBIL,50000,56,1,2.00E-05,0.01754386,0.111111111,0.02749538
FILTER OLI TERRANO,MEGAH JAYA MOTOR,85000,7,1,1.18E-05,0.125,0.111111111,0.059728105
FILTER OLI TRAGA,JAYA ABADI MOTOR,195000,177,1,5.13E-06,0.005617978,0.111111111,0.02391018
